timestamp,task_id,task_type,mode,model_name,answer_file,relevant_files_correct,structure_understanding,mentions_nonexistent_files,actionable,score,pred_files,unknown_files,hit_keywords,notes,manual_score,manual_notes
2026-04-09 13:56:18,task_01,explain,no_context,LongCat-Flash-Thinking-2601,outputs\answers\task_01_no_context_answer.txt,1.6,1.87,0.0,3.13,6.63,session.py,,auth|controller|session|verify_password,"pred_files=['session.py']; gold_overlap=['session.py']; keyword_hits=['auth', 'controller', 'session', 'verify_password']; unknown_files=[]",,
2026-04-09 13:56:48,task_01,explain,rough,LongCat-Flash-Thinking-2601,outputs\answers\task_01_rough_answer.txt,3.0,3.11,0.0,4.0,8.82,auth.py|controller.py|session.py|view.py,,auth|controller|handle_login|load_session|save_session|session|verify_password,"pred_files=['auth.py', 'controller.py', 'session.py', 'view.py']; gold_overlap=['auth.py', 'controller.py', 'session.py']; keyword_hits=['auth', 'controller', 'handle_login', 'load_session', 'save_session', 'session', 'verify_password']; unknown_files=[]",,
2026-04-09 13:58:00,task_01,explain,structured,LongCat-Flash-Thinking-2601,outputs\answers\task_01_structured_answer.txt,3.4,4.0,0.0,4.0,9.62,auth.py|controller.py|repository.py|session.py|usecase.py|view.py,,LoginUserUseCase|auth|controller|handle_login|hash_password|load_session|save_session|session|usecase|verify_password,"pred_files=['auth.py', 'controller.py', 'repository.py', 'session.py', 'usecase.py', 'view.py']; gold_overlap=['auth.py', 'controller.py', 'session.py', 'usecase.py']; keyword_hits=['LoginUserUseCase', 'auth', 'controller', 'handle_login', 'hash_password', 'load_session', 'save_session', 'session', 'usecase', 'verify_password']; unknown_files=[]",,
2026-04-09 13:59:00,task_02,explain,no_context,LongCat-Flash-Thinking-2601,outputs\answers\task_02_no_context_answer.txt,0.0,1.57,4.0,3.13,2.94,auth.py,guards.py|order_service.py|orders.py|permission_filter.py|require_role.py|routes.py,controller|业务逻辑|权限,"pred_files=['auth.py']; gold_overlap=[]; keyword_hits=['controller', '业务逻辑', '权限']; unknown_files=['guards.py', 'order_service.py', 'orders.py', 'permission_filter.py', 'require_role.py', 'routes.py']",,
2026-04-09 14:01:49,task_02,explain,rough,LongCat-Flash-Thinking-2601,outputs\answers\task_02_rough_answer.txt,2.87,3.49,0.0,4.0,8.97,auth.py|controller.py|session.py|usecase.py,,controller|execute|usecase|业务逻辑|权限,"pred_files=['auth.py', 'controller.py', 'session.py', 'usecase.py']; gold_overlap=['controller.py', 'usecase.py']; keyword_hits=['controller', 'execute', 'usecase', '业务逻辑', '权限']; unknown_files=[]",,
2026-04-09 14:02:25,task_02,explain,structured,LongCat-Flash-Thinking-2601,outputs\answers\task_02_structured_answer.txt,2.49,3.74,0.0,4.0,8.89,auth.py|controller.py|repository.py|session.py|usecase.py,,controller|execute|handle_add|usecase|业务逻辑|权限,"pred_files=['auth.py', 'controller.py', 'repository.py', 'session.py', 'usecase.py']; gold_overlap=['controller.py', 'usecase.py']; keyword_hits=['controller', 'execute', 'handle_add', 'usecase', '业务逻辑', '权限']; unknown_files=[]",,
2026-04-09 14:04:34,task_03,explain,no_context,LongCat-Flash-Thinking-2601,outputs\answers\task_03_no_context_answer.txt,0.0,1.13,0.0,2.7,4.89,,,Tag|repository,"pred_files=[]; gold_overlap=[]; keyword_hits=['Tag', 'repository']; unknown_files=[]",,
2026-04-09 14:05:35,task_03,explain,rough,LongCat-Flash-Thinking-2601,outputs\answers\task_03_rough_answer.txt,4.0,4.0,0.0,3.6,9.75,controller.py|entity.py|repository.py|usecase.py|view.py,,Memo|SearchByTagUseCase|Tag|controller|entity|find_by_tag|handle_search|repository|show_search_results|usecase|view,"pred_files=['controller.py', 'entity.py', 'repository.py', 'usecase.py', 'view.py']; gold_overlap=['controller.py', 'entity.py', 'repository.py', 'usecase.py', 'view.py']; keyword_hits=['Memo', 'SearchByTagUseCase', 'Tag', 'controller', 'entity', 'find_by_tag', 'handle_search', 'repository', 'show_search_results', 'usecase', 'view']; unknown_files=[]",,
2026-04-09 14:06:35,task_03,explain,structured,LongCat-Flash-Thinking-2601,outputs\answers\task_03_structured_answer.txt,4.0,4.0,0.0,4.0,10.0,controller.py|entity.py|repository.py|usecase.py|view.py,,Memo|SearchByTagUseCase|Tag|controller|entity|find_by_tag|handle_search|repository|show_search_results|usecase|view,"pred_files=['controller.py', 'entity.py', 'repository.py', 'usecase.py', 'view.py']; gold_overlap=['controller.py', 'entity.py', 'repository.py', 'usecase.py', 'view.py']; keyword_hits=['Memo', 'SearchByTagUseCase', 'Tag', 'controller', 'entity', 'find_by_tag', 'handle_search', 'repository', 'show_search_results', 'usecase', 'view']; unknown_files=[]",,
2026-04-09 14:16:51,task_04,feature,no_context,LongCat-Flash-Thinking-2601,outputs\answers\task_04_no_context_answer.txt,0.0,1.04,0.0,2.9,4.96,,,json,pred_files=[]; gold_overlap=[]; keyword_hits=['json']; unknown_files=[],,
